Ticker,Security,Sector,Score
PFE,Pfizer Inc.,Health Care,136.65
AZO,AutoZone Inc,Consumer Discretionary,136.51
CNP,CenterPoint Energy,Utilities,135.89
UHS,Universal Health Services,Health Care,134.61
ARE,Alexandria Real Estate Equities,Real Estate,132.91
WM,Waste Management Inc.,Industrials,131.44
MMC,Marsh & McLennan,Financials,129.79
NLSN,Nielsen Holdings,Industrials,129.34
AIG,American International Group,Financials,126.92
CAG,Conagra Brands,Consumer Staples,125.5
DISCK,Discovery Inc. (Class C),Communication Services,125.18
ECL,Ecolab Inc.,Materials,125.16
WLTW,Willis Towers Watson,Financials,124.05
GL,Globe Life Inc.,Financials,123.89
MSI,Motorola Solutions Inc.,Information Technology,123.23
ADP,Automatic Data Processing,Information Technology,122.93
TFX,Teleflex,Health Care,121.99
AFL,AFLAC Inc,Financials,121.52
FTNT,Fortinet,Information Technology,121.46
ROST,Ross Stores,Consumer Discretionary,120.9
FLS,Flowserve Corporation,Industrials,119.74
IRM,Iron Mountain Incorporated,Real Estate,119.71
DVN,Devon Energy,Energy,119.46
LUV,Southwest Airlines,Industrials,118.33
MO,Altria Group Inc,Consumer Staples,117.75
CVS,CVS Health,Health Care,117.6
GILD,Gilead Sciences,Health Care,116.45
GPN,Global Payments Inc.,Information Technology,115.88
PM,Philip Morris International,Consumer Staples,115.0
ILMN,Illumina Inc,Health Care,114.32
LLY,Lilly (Eli) & Co.,Health Care,114.07
PXD,Pioneer Natural Resources,Energy,112.97
VZ,Verizon Communications,Communication Services,112.09
TDY,Teledyne Technologies,Industrials,111.76
HUM,Humana Inc.,Health Care,109.66
BK,The Bank of New York Mellon,Financials,107.83
SPGI,S&P Global Inc.,Financials,107.74
BIIB,Biogen Inc.,Health Care,107.42
MCO,Moody's Corp,Financials,106.86
EQIX,Equinix,Real Estate,103.6
NRG,NRG Energy,Utilities,101.68
WRB,W. R. Berkley Corporation,Financials,101.44
FE,FirstEnergy Corp,Utilities,100.44
AON,Aon plc,Financials,100.09
MPC,Marathon Petroleum,Energy,99.76
SJM,JM Smucker,Consumer Staples,98.96
GE,General Electric,Industrials,97.51
BMY,Bristol-Myers Squibb,Health Care,92.04
DPZ,Domino's Pizza,Consumer Discretionary,91.86
WYNN,Wynn Resorts Ltd,Consumer Discretionary,91.61
L,Loews Corp.,Financials,88.89
HSY,The Hershey Company,Consumer Staples,86.44
MAA,Mid-America Apartments,Real Estate,85.62
KIM,Kimco Realty,Real Estate,84.84
LW,Lamb Weston Holdings Inc,Consumer Staples,84.36
WELL,Welltower Inc.,Real Estate,83.16
PEAK,Healthpeak Properties,Real Estate,82.45
DAL,Delta Air Lines Inc.,Industrials,81.94
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,80.81
HIG,Hartford Financial Svc.Gp.,Financials,80.7
EXC,Exelon Corp.,Utilities,78.61
NEM,Newmont Corporation,Materials,77.83
AKAM,Akamai Technologies Inc,Information Technology,76.78
DUK,Duke Energy,Utilities,76.42
AMGN,Amgen Inc.,Health Care,76.04
